gene,ensembl,name,pc1_loading,pc2_loading,category
PHLPP1,ENSG00000081913,PH domain and leucine rich repeat protein phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:20610],-0.020153700542432488,-0.0029701732189498665,PC1
WDFY1,ENSG00000085449,WD repeat and FYVE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20451],-0.020143107094215438,-0.003067679498734294,PC1
FAM69B,ENSG00000165716,family with sequence similarity 69 member B [Source:HGNC Symbol;Acc:HGNC:28290],-0.02013839498597483,0.0033616445621040044,PC1
GYG2,ENSG00000056998,glycogenin 2 [Source:HGNC Symbol;Acc:HGNC:4700],-0.020136065973764238,-0.003426549092891872,PC1
FGD4,ENSG00000139132,"FYVE, RhoGEF and PH domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19125]",-0.020132410544069702,0.002443772788597307,PC1
MCOLN3,ENSG00000055732,mucolipin 3 [Source:HGNC Symbol;Acc:HGNC:13358],-0.02009738651862366,-0.0029230292719065365,PC1
ERP27,ENSG00000139055,endoplasmic reticulum protein 27 [Source:HGNC Symbol;Acc:HGNC:26495],-0.02009179872277496,-4.128180038797629e-4,PC1
HIBCH,ENSG00000198130,3-hydroxyisobutyryl-CoA hydrolase [Source:HGNC Symbol;Acc:HGNC:4908],-0.020080586034647626,0.0021203153428353146,PC1
PIR,ENSG00000087842,pirin [Source:HGNC Symbol;Acc:HGNC:30048],-0.020073299360980804,0.0037231726306891292,PC1
ACVR2B,ENSG00000114739,activin A receptor type IIB [Source:HGNC Symbol;Acc:HGNC:174],-0.020065399021401413,-0.003944469076389959,PC1
DDX26B,ENSG00000165359,DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26B [Source:HGNC Symbol;Acc:HGNC:27334],-0.020057242260898955,-0.0015473020281127692,PC1
OGDHL,ENSG00000197444,oxoglutarate dehydrogenase-like [Source:HGNC Symbol;Acc:HGNC:25590],-0.020042526339125653,-0.0015934913705526652,PC1
RAB3A,ENSG00000105649,"RAB3A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9777]",-0.020042045043754033,-6.010407043561836e-4,PC1
HCG22,ENSG00000228789,HLA complex group 22 [Source:HGNC Symbol;Acc:HGNC:27780],-0.02003772954756442,-8.242474625604987e-4,PC1
RHOQ,ENSG00000119729,ras homolog family member Q [Source:HGNC Symbol;Acc:HGNC:17736],-0.02000125895510054,0.0013680401081246443,PC1
GALNT3,ENSG00000115339,polypeptide N-acetylgalactosaminyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:4125],-0.019995086691371372,0.001530038603008697,PC1
MXI1,ENSG00000119950,"MAX interactor 1, dimerization protein [Source:HGNC Symbol;Acc:HGNC:7534]",-0.019979669568182402,-0.0013618015329922178,PC1
BCL7A,ENSG00000110987,B-cell CLL/lymphoma 7A [Source:HGNC Symbol;Acc:HGNC:1004],-0.019958265875146094,7.44613326404686e-4,PC1
PPM1H,ENSG00000111110,"protein phosphatase, Mg2+/Mn2+ dependent 1H [Source:HGNC Symbol;Acc:HGNC:18583]",-0.01995360561625288,0.002620502396653008,PC1
BAHCC1,ENSG00000266074,BAH domain and coiled-coil containing 1 [Source:HGNC Symbol;Acc:HGNC:29279],-0.019949116119210793,0.0023502630150075503,PC1
DERA,ENSG00000023697,deoxyribose-phosphate aldolase (putative) [Source:HGNC Symbol;Acc:HGNC:24269],-0.019948327329743897,0.003199272382184735,PC1
MED28,ENSG00000118579,mediator complex subunit 28 [Source:HGNC Symbol;Acc:HGNC:24628],-0.019939811913708506,-0.0030946544683371595,PC1
MSI1,ENSG00000135097,musashi RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:7330],-0.019936339893150162,-0.0018092537490062236,PC1
MIR600HG,ENSG00000236901,MIR600 host gene [Source:HGNC Symbol;Acc:HGNC:23642],-0.019929082934437556,0.001333776082726445,PC1
GS1-358P8.4,ENSG00000260822,NA,-0.019899565942727272,0.0026389662137567683,PC1
MYH10,ENSG00000133026,"myosin, heavy chain 10, non-muscle [Source:HGNC Symbol;Acc:HGNC:7568]",-0.019888615005672232,-5.535648513456703e-4,PC1
AC009495.4,ENSG00000229195,NA,-0.019879953854423336,0.0017348053921630877,PC1
HERC5,ENSG00000138646,HECT and RLD domain containing E3 ubiquitin protein ligase 5 [Source:HGNC Symbol;Acc:HGNC:24368],-0.019874349410291713,-4.067862490851489e-4,PC1
NUP210,ENSG00000132182,nucleoporin 210kDa [Source:HGNC Symbol;Acc:HGNC:30052],-0.01986479049285907,-0.003945263053141587,PC1
FAM117B,ENSG00000138439,family with sequence similarity 117 member B [Source:HGNC Symbol;Acc:HGNC:14440],-0.019864359336775387,0.005903676832668459,PC1
MLANA,ENSG00000120215,melan-A [Source:HGNC Symbol;Acc:HGNC:7124],-0.01986362493646034,-0.0028826971801820026,PC1
TBC1D7,ENSG00000145979,TBC1 domain family member 7 [Source:HGNC Symbol;Acc:HGNC:21066],-0.019860094677805664,-0.0026577960315138397,PC1
CPT2,ENSG00000157184,carnitine palmitoyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:2330],-0.01985809119723669,-0.0029764243341580086,PC1
SLC45A2,ENSG00000164175,solute carrier family 45 member 2 [Source:HGNC Symbol;Acc:HGNC:16472],-0.019855445105256882,0.0033884327653282476,PC1
ADCY1,ENSG00000164742,adenylate cyclase 1 (brain) [Source:HGNC Symbol;Acc:HGNC:232],-0.019840424098079693,-6.570214017007055e-4,PC1
PGAP1,ENSG00000197121,post-GPI attachment to proteins 1 [Source:HGNC Symbol;Acc:HGNC:25712],-0.0198328396333399,-1.287725653789138e-4,PC1
NELL1,ENSG00000165973,neural EGFL like 1 [Source:HGNC Symbol;Acc:HGNC:7750],-0.019815158588585874,-0.00477501883610704,PC1
PI15,ENSG00000137558,peptidase inhibitor 15 [Source:HGNC Symbol;Acc:HGNC:8946],-0.01980628197826529,-0.0012425660914055867,PC1
DNMT3A,ENSG00000119772,DNA (cytosine-5-)-methyltransferase 3 alpha [Source:HGNC Symbol;Acc:HGNC:2978],-0.019805965194838196,-4.040830741462143e-4,PC1
TYR,ENSG00000077498,tyrosinase [Source:HGNC Symbol;Acc:HGNC:12442],-0.019800624010604083,-8.355803040098907e-4,PC1
DAPK1,ENSG00000196730,death-associated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:2674],-0.01979609355623513,-0.001862044862977833,PC1
TMEM150C,ENSG00000249242,transmembrane protein 150C [Source:HGNC Symbol;Acc:HGNC:37263],-0.01978775715574182,-0.0053514487418374794,PC1
USP2,ENSG00000036672,ubiquitin specific peptidase 2 [Source:HGNC Symbol;Acc:HGNC:12618],-0.01978245406854375,1.126674115581448e-4,PC1
RP11-1055B8.3,ENSG00000262223,NA,-0.01977531151286932,-0.0031157976339219163,PC1
RP3-395M20.8,ENSG00000238164,NA,-0.01977253065941991,-0.0020526408541828647,PC1
USP51,ENSG00000247746,ubiquitin specific peptidase 51 [Source:HGNC Symbol;Acc:HGNC:23086],-0.019771585076444324,-0.003294623200269937,PC1
SPTBN1,ENSG00000115306,"spectrin, beta, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11275]",-0.019769434793004945,0.0043247406070001096,PC1
IGSF11,ENSG00000144847,immunoglobulin superfamily member 11 [Source:HGNC Symbol;Acc:HGNC:16669],-0.019768520122446533,-0.005210605525055871,PC1
HPGD,ENSG00000164120,hydroxyprostaglandin dehydrogenase 15-(NAD) [Source:HGNC Symbol;Acc:HGNC:5154],-0.019766140753127274,-0.002071246843984562,PC1
ESRP1,ENSG00000104413,epithelial splicing regulatory protein 1 [Source:HGNC Symbol;Acc:HGNC:25966],-0.019765893645682375,-9.837650395922864e-4,PC1
TBX2,ENSG00000121068,T-box 2 [Source:HGNC Symbol;Acc:HGNC:11597],-0.019734254893815233,-6.448705337501218e-4,PC1
RP11-775C24.5,ENSG00000277782,NA,-0.01972655868789219,-0.003983139548851893,PC1
MYO10,ENSG00000145555,myosin X [Source:HGNC Symbol;Acc:HGNC:7593],-0.019721250883094624,0.0038550357897038025,PC1
PLEKHH1,ENSG00000054690,"pleckstrin homology, MyTH4 and FERM domain containing H1 [Source:HGNC Symbol;Acc:HGNC:17733]",-0.019713015661445354,-0.0060901808227772905,PC1
SFXN4,ENSG00000183605,sideroflexin 4 [Source:HGNC Symbol;Acc:HGNC:16088],-0.01968419488449833,-0.004746521028089445,PC1
ADAMTS3,ENSG00000156140,ADAM metallopeptidase with thrombospondin type 1 motif 3 [Source:HGNC Symbol;Acc:HGNC:219],-0.01966584802529337,-0.0019281158113440243,PC1
DAAM2,ENSG00000146122,dishevelled associated activator of morphogenesis 2 [Source:HGNC Symbol;Acc:HGNC:18143],-0.019665594450702165,-0.005049479593448307,PC1
CELF2,ENSG00000048740,"CUGBP, Elav-like family member 2 [Source:HGNC Symbol;Acc:HGNC:2550]",-0.01965992516670213,-0.006955046343118396,PC1
FBXO41,ENSG00000163013,F-box protein 41 [Source:HGNC Symbol;Acc:HGNC:29409],-0.019659050528687088,0.0015313470569458406,PC1
BCAS3,ENSG00000141376,breast carcinoma amplified sequence 3 [Source:HGNC Symbol;Acc:HGNC:14347],-0.019653024499155788,-0.002773976385501238,PC1
OLMALINC,ENSG00000235823,oligodendrocyte maturation-associated long intergenic non-coding RNA [Source:HGNC Symbol;Acc:HGNC:28060],-0.019648500763680334,-0.0021428955641201405,PC1
GNG7,ENSG00000176533,"guanine nucleotide binding protein (G protein), gamma 7 [Source:HGNC Symbol;Acc:HGNC:4410]",-0.019642894414972988,-0.004165209235250416,PC1
SDCBP,ENSG00000137575,syndecan binding protein [Source:HGNC Symbol;Acc:HGNC:10662],-0.01963842467850242,-0.006521026975317037,PC1
FN3K,ENSG00000167363,fructosamine 3 kinase [Source:HGNC Symbol;Acc:HGNC:24822],-0.019622324856277358,0.0026992177467797876,PC1
ARAP1,ENSG00000186635,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16925]",-0.019619618168895257,-0.0018304189457374375,PC1
ST6GAL1,ENSG00000073849,"ST6 beta-galactosamide alpha-2,6-sialyltranferase 1 [Source:HGNC Symbol;Acc:HGNC:10860]",-0.019614110955786246,-0.002634993364956567,PC1
PPARGC1A,ENSG00000109819,"peroxisome proliferator-activated receptor gamma, coactivator 1 alpha [Source:HGNC Symbol;Acc:HGNC:9237]",-0.01961036314587228,-7.411950343010251e-5,PC1
SLC11A2,ENSG00000110911,"solute carrier family 11 (proton-coupled divalent metal ion transporter), member 2 [Source:HGNC Symbol;Acc:HGNC:10908]",-0.01960734147296476,0.004120449220869483,PC1
C9orf91,ENSG00000157693,chromosome 9 open reading frame 91 [Source:HGNC Symbol;Acc:HGNC:24513],-0.019605368204746395,-0.002118846337795165,PC1
CCDC78,ENSG00000162004,coiled-coil domain containing 78 [Source:HGNC Symbol;Acc:HGNC:14153],-0.019603835962573507,0.004510387120992887,PC1
ASB11,ENSG00000165192,ankyrin repeat and SOCS box containing 11 [Source:HGNC Symbol;Acc:HGNC:17186],-0.019589085118970062,0.0034842205803117077,PC1
OSBPL1A,ENSG00000141447,oxysterol binding protein like 1A [Source:HGNC Symbol;Acc:HGNC:16398],-0.019582784871769204,0.005165550007126805,PC1
SETDB2,ENSG00000136169,"SET domain, bifurcated 2 [Source:HGNC Symbol;Acc:HGNC:20263]",-0.019576947861192764,0.0022995850595949902,PC1
BAZ2B,ENSG00000123636,bromodomain adjacent to zinc finger domain 2B [Source:HGNC Symbol;Acc:HGNC:963],-0.019568217103824656,9.77989465236186e-4,PC1
LINC01272,ENSG00000224397,long intergenic non-protein coding RNA 1272 [Source:HGNC Symbol;Acc:HGNC:50328],-0.019550858929194354,0.0016237345653380144,PC1
ADCK3,ENSG00000163050,aarF domain containing kinase 3 [Source:HGNC Symbol;Acc:HGNC:16812],-0.019548528699077708,0.0018526680610057456,PC1
HPS4,ENSG00000100099,Hermansky-Pudlak syndrome 4 [Source:HGNC Symbol;Acc:HGNC:15844],-0.019545630954866028,0.006477954471187564,PC1
NHLRC3,ENSG00000188811,NHL repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:33751],-0.019537690410229222,0.005150021439855245,PC1
CHST9,ENSG00000154080,carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9 [Source:HGNC Symbol;Acc:HGNC:19898],-0.019529825940415597,0.0025138723017463036,PC1
SLC24A5,ENSG00000188467,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 5 [Source:HGNC Symbol;Acc:HGNC:20611]",-0.01952863787887583,-0.006215491528366843,PC1
RP11-172H24.4,ENSG00000278291,NA,-0.019523166097992834,1.2487327535351457e-4,PC1
BDH1,ENSG00000161267,"3-hydroxybutyrate dehydrogenase, type 1 [Source:HGNC Symbol;Acc:HGNC:1027]",-0.019519815092647236,-0.0017678522330871421,PC1
NAV2,ENSG00000166833,neuron navigator 2 [Source:HGNC Symbol;Acc:HGNC:15997],-0.019500456487213155,0.0035398441714937405,PC1
ABHD18,ENSG00000164074,abhydrolase domain containing 18 [Source:HGNC Symbol;Acc:HGNC:26111],-0.01950031830275803,0.003925780187008919,PC1
GNPTAB,ENSG00000111670,"N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits [Source:HGNC Symbol;Acc:HGNC:29670]",-0.01949716240738568,-0.004357612548261866,PC1
GK,ENSG00000198814,glycerol kinase [Source:HGNC Symbol;Acc:HGNC:4289],-0.019496946786841003,-0.003162764160050604,PC1
LINC01102,ENSG00000235597,long intergenic non-protein coding RNA 1102 [Source:HGNC Symbol;Acc:HGNC:27165],-0.019495201646280626,-0.0013474097136917343,PC1
BACE2,ENSG00000182240,beta-site APP-cleaving enzyme 2 [Source:HGNC Symbol;Acc:HGNC:934],-0.01948694294766712,-0.006358880975411625,PC1
ACP5,ENSG00000102575,"acid phosphatase 5, tartrate resistant [Source:HGNC Symbol;Acc:HGNC:124]",-0.019464367760836328,0.0010460268845432993,PC1
KCNJ10,ENSG00000177807,"potassium channel, inwardly rectifying subfamily J, member 10 [Source:HGNC Symbol;Acc:HGNC:6256]",-0.019462919523094674,-0.0049038451314174685,PC1
CTD-2380F24.1,ENSG00000261195,NA,-0.019440796166074633,-0.00530155189066035,PC1
TM7SF2,ENSG00000149809,transmembrane 7 superfamily member 2 [Source:HGNC Symbol;Acc:HGNC:11863],-0.019440663744593276,-0.0021634776991025966,PC1
TTYH2,ENSG00000141540,tweety family member 2 [Source:HGNC Symbol;Acc:HGNC:13877],-0.01942873973409133,0.004692566545134589,PC1
ZNF37BP,ENSG00000234420,"zinc finger protein 37B, pseudogene [Source:HGNC Symbol;Acc:HGNC:13103]",-0.019425260664285814,-8.773542634729869e-4,PC1
PIGM,ENSG00000143315,phosphatidylinositol glycan anchor biosynthesis class M [Source:HGNC Symbol;Acc:HGNC:18858],-0.01942086668903826,-0.0011087422287292563,PC1
PPP1R37,ENSG00000104866,protein phosphatase 1 regulatory subunit 37 [Source:HGNC Symbol;Acc:HGNC:27607],-0.019412194841930103,-0.002752394613811229,PC1
NBL1,ENSG00000158747,"neuroblastoma 1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:7650]",-0.01940054292698559,-0.007010831178875314,PC1
MRPS25,ENSG00000131368,mitochondrial ribosomal protein S25 [Source:HGNC Symbol;Acc:HGNC:14511],-0.019399722383697825,-0.0029411908854592534,PC1
NNT,ENSG00000112992,nicotinamide nucleotide transhydrogenase [Source:HGNC Symbol;Acc:HGNC:7863],-0.019397606252299283,0.006313068286327585,PC1
KLF15,ENSG00000163884,Kruppel-like factor 15 [Source:HGNC Symbol;Acc:HGNC:14536],-0.019393588399074516,0.0067538592371564786,PC1
RP3-395M20.7,ENSG00000225931,NA,-0.01938996973780296,-0.0018850366651411315,PC1
MBP,ENSG00000197971,myelin basic protein [Source:HGNC Symbol;Acc:HGNC:6925],-0.01938189203908558,-0.0016382493544026585,PC1
APOE,ENSG00000130203,apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613],-0.01937326709353333,-0.001740881338410126,PC1
ATP5G3,ENSG00000154518,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit C3 (subunit 9) [Source:HGNC Symbol;Acc:HGNC:843]",-0.019350402240002052,-0.007363283163136042,PC1
AC009495.3,ENSG00000232411,NA,-0.019334191609470013,0.0018756661905141886,PC1
ACY1,ENSG00000243989,aminoacylase 1 [Source:HGNC Symbol;Acc:HGNC:177],-0.019324727092626958,9.385955052187784e-5,PC1
KREMEN1,ENSG00000183762,kringle containing transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:17550],-0.01932250277558633,0.005211131073783354,PC1
MITF,ENSG00000187098,microphthalmia-associated transcription factor [Source:HGNC Symbol;Acc:HGNC:7105],-0.019317138279144653,-0.005041509207858588,PC1
SOX6,ENSG00000110693,SRY-box 6 [Source:HGNC Symbol;Acc:HGNC:16421],-0.01929720102721025,9.279185925365538e-4,PC1
LHFPL3-AS1,ENSG00000226869,LHFPL3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40341],-0.01929497215122407,-0.007207717470234563,PC1
CLUHP3,ENSG00000131797,clustered mitochondria (cluA/CLU1) homolog pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:28447],-0.019277519694721083,1.280119331062048e-4,PC1
KREMEN2,ENSG00000131650,kringle containing transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:18797],-0.01927106580605861,-0.0039038250083632486,PC1
PLCG1,ENSG00000124181,phospholipase C gamma 1 [Source:HGNC Symbol;Acc:HGNC:9065],-0.019268211772851155,-0.0067727695219255,PC1
D2HGDH,ENSG00000180902,D-2-hydroxyglutarate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:28358],-0.0192637501663711,0.005637625249182953,PC1
NAT8L,ENSG00000185818,"N-acetyltransferase 8-like (GCN5-related, putative) [Source:HGNC Symbol;Acc:HGNC:26742]",-0.01926052422961536,-0.00345643416786195,PC1
FAXDC2,ENSG00000170271,fatty acid hydroxylase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:1334],-0.01924891636468871,0.004759417970858505,PC1
PRAME,ENSG00000185686,preferentially expressed antigen in melanoma [Source:HGNC Symbol;Acc:HGNC:9336],-0.019243182284296362,0.001222421934621369,PC1
CTD-2396E7.10,ENSG00000268191,NA,-0.019232515564542887,0.0026464627142563507,PC1
UGT2B7,ENSG00000171234,"UDP glucuronosyltransferase 2 family, polypeptide B7 [Source:HGNC Symbol;Acc:HGNC:12554]",-0.019230279918099568,0.006854917453185327,PC1
WDR81,ENSG00000167716,WD repeat domain 81 [Source:HGNC Symbol;Acc:HGNC:26600],-0.01922069880471574,-0.0019263835260525802,PC1
LONP2,ENSG00000102910,"lon peptidase 2, peroxisomal [Source:HGNC Symbol;Acc:HGNC:20598]",-0.01921640273481186,0.0055510860298943554,PC1
ARNT2,ENSG00000172379,aryl hydrocarbon receptor nuclear translocator 2 [Source:HGNC Symbol;Acc:HGNC:16876],-0.019214886928292547,-0.008253177207160229,PC1
HMBOX1,ENSG00000147421,homeobox containing 1 [Source:HGNC Symbol;Acc:HGNC:26137],-0.019211035961793625,0.003927136078956179,PC1
HSPA4L,ENSG00000164070,heat shock protein family A (Hsp70) member 4 like [Source:HGNC Symbol;Acc:HGNC:17041],-0.01920922327391163,-0.001725728157523101,PC1
L3MBTL4-AS1,ENSG00000264707,L3MBTL4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51320],-0.019199183845864193,-0.005691459446675487,PC1
PFKM,ENSG00000152556,"phosphofructokinase, muscle [Source:HGNC Symbol;Acc:HGNC:8877]",-0.01919253244796376,0.006887463027826536,PC1
FHIT,ENSG00000189283,fragile histidine triad [Source:HGNC Symbol;Acc:HGNC:3701],-0.019183564540518797,0.005362574860069103,PC1
GSN,ENSG00000148180,gelsolin [Source:HGNC Symbol;Acc:HGNC:4620],-0.01917562000512844,-0.007780870723180394,PC1
MAP3K11,ENSG00000173327,mitogen-activated protein kinase kinase kinase 11 [Source:HGNC Symbol;Acc:HGNC:6850],-0.01916528810815427,0.0029215773377712063,PC1
RP11-775C24.3,ENSG00000260619,NA,-0.01915844351770139,0.0026662137569027624,PC1
GANC,ENSG00000214013,"glucosidase, alpha; neutral C [Source:HGNC Symbol;Acc:HGNC:4139]",-0.01915277623413619,0.004611479044964773,PC1
RP11-340F14.6,ENSG00000274029,NA,-0.019150466682872423,0.007095817472861752,PC1
ADGRA3,ENSG00000152990,adhesion G protein-coupled receptor A3 [Source:HGNC Symbol;Acc:HGNC:13839],-0.019148738874975705,-0.004457400459211854,PC1
TRPC3,ENSG00000138741,"transient receptor potential cation channel, subfamily C, member 3 [Source:HGNC Symbol;Acc:HGNC:12335]",-0.019145221173362776,3.297867956092226e-4,PC1
TRIM63,ENSG00000158022,"tripartite motif containing 63, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:16007]",-0.019134315184457074,0.002910053533344415,PC1
DOCK10,ENSG00000135905,dedicator of cytokinesis 10 [Source:HGNC Symbol;Acc:HGNC:23479],-0.01913082999784637,0.0033862703877695762,PC1
TRPM1,ENSG00000134160,"transient receptor potential cation channel, subfamily M, member 1 [Source:HGNC Symbol;Acc:HGNC:7146]",-0.019122950658535386,0.0039859142213835835,PC1
IRF4,ENSG00000137265,interferon regulatory factor 4 [Source:HGNC Symbol;Acc:HGNC:6119],-0.019116621932818826,-0.005007388777168367,PC1
ARVCF,ENSG00000099889,armadillo repeat gene deleted in velocardiofacial syndrome [Source:HGNC Symbol;Acc:HGNC:728],-0.01911243946370532,0.0037841425704275636,PC1
RP11-42I10.1,ENSG00000260086,NA,-0.01911230906339886,8.08984584719429e-4,PC1
ASAH1,ENSG00000104763,N-acylsphingosine amidohydrolase (acid ceramidase) 1 [Source:HGNC Symbol;Acc:HGNC:735],-0.019111196833874012,0.006643334518734789,PC1
SLCO1C1,ENSG00000139155,solute carrier organic anion transporter family member 1C1 [Source:HGNC Symbol;Acc:HGNC:13819],-0.019109094913732267,0.005584760971398277,PC1
ARHGAP42,ENSG00000165895,Rho GTPase activating protein 42 [Source:HGNC Symbol;Acc:HGNC:26545],-0.019107268795881673,0.001888291740491955,PC1
AMDHD2,ENSG00000162066,amidohydrolase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24262],-0.019106801528761947,0.004261108026254832,PC1
SLC19A2,ENSG00000117479,"solute carrier family 19 (thiamine transporter), member 2 [Source:HGNC Symbol;Acc:HGNC:10938]",-0.01910217011193895,-0.0041381675501896325,PC1
SLC22A18,ENSG00000110628,solute carrier family 22 member 18 [Source:HGNC Symbol;Acc:HGNC:10964],-0.01909731500813139,-0.005109065310965623,PC1
SRGAP1,ENSG00000196935,SLIT-ROBO Rho GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:17382],-0.01909532926350247,-0.005092120202610539,PC1
NCR3LG1,ENSG00000188211,natural killer cell cytotoxicity receptor 3 ligand 1 [Source:HGNC Symbol;Acc:HGNC:42400],-0.01907724736740093,-0.0032384263672651133,PC1
GPRC5B,ENSG00000167191,"G protein-coupled receptor, class C, group 5, member B [Source:HGNC Symbol;Acc:HGNC:13308]",-0.019075875762363532,-0.004938790867917681,PC1
SLC16A10,ENSG00000112394,"solute carrier family 16 (aromatic amino acid transporter), member 10 [Source:HGNC Symbol;Acc:HGNC:17027]",-0.01906651973300521,-2.616773165206941e-4,PC1
MS4A7,ENSG00000166927,"membrane-spanning 4-domains, subfamily A, member 7 [Source:HGNC Symbol;Acc:HGNC:13378]",-0.019065996510060024,-0.0024959105995809505,PC1
